episode,ep_length,ep_env_return,ep_shaping_return,ep_final_bonus
353,126.0,1.0,0.0,0.0
354,121.0,2.0,0.0,0.0
355,108.0,2.0,0.0,0.0
356,84.0,2.0,0.0,0.0
357,128.0,2.0,0.0,0.0
358,95.0,1.0,0.0,0.0
359,90.0,0.0,0.0,0.0
360,102.0,1.0,0.0,0.0
361,119.0,1.0,0.0,0.0
362,110.0,2.0,0.0,0.0
363,99.0,3.0,0.0,0.0
364,111.0,1.0,0.0,0.0
365,117.0,3.0,0.0,0.0
366,104.0,0.0,0.0,0.0
367,99.0,2.0,0.0,0.0
368,132.0,3.0,0.0,0.0
369,109.0,3.0,0.0,0.0
370,117.0,1.0,0.0,0.0
371,98.0,3.0,0.0,0.0
372,102.0,2.0,0.0,0.0
373,91.0,1.0,0.0,0.0
374,83.0,2.0,0.0,0.0
375,97.0,1.0,0.0,0.0
376,113.0,1.0,0.0,0.0
377,101.0,3.0,0.0,0.0
378,78.0,3.0,0.0,0.0
379,132.0,2.0,0.0,0.0
380,109.0,1.0,0.0,0.0
381,133.0,0.0,0.0,0.0
382,97.0,1.0,0.0,0.0
383,88.0,3.0,0.0,0.0
384,113.0,1.0,0.0,0.0
385,109.0,2.0,0.0,0.0
386,89.0,3.0,0.0,0.0
387,83.0,3.0,0.0,0.0
388,102.0,0.0,0.0,0.0
389,101.0,3.0,0.0,0.0
390,104.0,1.0,0.0,0.0
391,96.0,0.0,0.0,0.0
392,99.0,1.0,0.0,0.0
393,129.0,1.0,0.0,0.0
394,104.0,1.0,0.0,0.0
395,145.0,3.0,0.0,0.0
396,94.0,3.0,0.0,0.0
397,98.0,3.0,0.0,0.0
398,112.0,2.0,0.0,0.0
399,107.0,0.0,0.0,0.0
400,112.0,0.0,0.0,0.0
401,113.0,2.0,0.0,0.0
402,84.0,1.0,0.0,0.0
403,105.0,0.0,0.0,0.0
404,100.0,3.0,0.0,0.0
405,86.0,3.0,0.0,0.0
406,101.0,2.0,0.0,0.0
407,124.0,1.0,0.0,0.0
408,105.0,0.0,0.0,0.0
409,100.0,3.0,0.0,0.0
410,118.0,3.0,0.0,0.0
411,127.0,1.0,0.0,0.0
412,87.0,2.0,0.0,0.0
413,123.0,2.0,0.0,0.0
414,99.0,1.0,0.0,0.0
415,91.0,2.0,0.0,0.0
416,103.0,2.0,0.0,0.0
417,106.0,3.0,0.0,0.0
418,93.0,0.0,0.0,0.0
419,104.0,1.0,0.0,0.0
420,95.0,0.0,0.0,0.0
421,104.0,1.0,0.0,0.0
422,124.0,2.0,0.0,0.0
423,102.0,2.0,0.0,0.0
424,106.0,2.0,0.0,0.0
