episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon
261,33.0,3.0,0.0,0.0,1.5,0.0,0.0,0.09560289753585896
262,31.0,1.0,0.0,0.0,1.5,0.0,0.0,0.09471777999151833
263,19.0,2.0,0.0,0.0,1.5,0.0,0.0,0.09417934387707054
264,31.0,0.0,0.0,0.0,1.5,0.0,0.0,0.09330740597844336
265,23.0,3.0,0.0,0.0,1.5,0.0,0.0,0.09266570503183097
266,32.0,0.0,0.0,0.0,1.5,0.0,0.0,0.09178023847775289
267,27.0,1.0,0.0,0.0,1.5,0.0,0.0,0.09103971064850142
268,34.0,3.0,0.0,0.0,1.5,0.0,0.0,0.09011568751991066
269,27.0,1.0,0.0,0.0,1.5,0.0,0.0,0.08938859010147454
270,22.0,0.0,0.0,0.0,1.5,0.0,0.0,0.08880048008410621
271,34.0,0.0,0.0,0.0,1.5,0.0,0.0,0.08789918440946946
272,30.0,1.0,0.0,0.0,1.5,0.0,0.0,0.08711152338682684
273,30.0,0.0,0.0,0.0,1.5,0.0,0.0,0.08633092056262781
274,28.0,3.0,0.0,0.0,1.5,0.0,0.0,0.08560867018597393
275,32.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0847906370834066
276,30.0,0.0,0.0,0.0,1.5,0.0,0.0,0.08403083162714073
277,28.0,1.0,0.0,0.0,1.5,0.0,0.0,0.08332782395158593
278,29.0,2.0,0.0,0.0,1.5,0.0,0.0,0.08260590847694482
279,26.0,1.0,0.0,0.0,1.5,0.0,0.0,0.08196399282470287
280,25.0,1.0,0.0,0.0,1.5,0.0,0.0,0.08135147082474782
281,31.0,3.0,0.0,0.0,1.5,0.0,0.0,0.08059829685261072
282,26.0,3.0,0.0,0.0,1.5,0.0,0.0,0.0799719819890901
283,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.07925535630547914
284,32.0,1.0,0.0,0.0,1.5,0.0,0.0,0.07849803225322127
285,27.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0778646717565706
286,27.0,1.0,0.0,0.0,1.5,0.0,0.0,0.07723642152201436
287,32.0,1.0,0.0,0.0,1.5,0.0,0.0,0.07649838938821764
288,39.0,3.0,0.0,0.0,1.5,0.0,0.0,0.0756084410846157
289,26.0,3.0,0.0,0.0,1.5,0.0,0.0,0.07502090149248865
290,31.0,0.0,0.0,0.0,1.5,0.0,0.0,0.07432633764751373
291,34.0,2.0,0.0,0.0,1.5,0.0,0.0,0.07357194975940946
292,35.0,2.0,0.0,0.0,1.5,0.0,0.0,0.07280337109472332
293,34.0,0.0,0.0,0.0,1.5,0.0,0.0,0.07206444081636781
294,25.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0715258987823202
295,29.0,0.0,0.0,0.0,1.5,0.0,0.0,0.07090622997639319
296,25.0,2.0,0.0,0.0,1.5,0.0,0.0,0.07037634332375904
297,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.06974570376862953
298,25.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0692244898002959
299,31.0,3.0,0.0,0.0,1.5,0.0,0.0,0.06858359070623564
300,30.0,0.0,0.0,0.0,1.5,0.0,0.0,0.06796901593452305
301,29.0,1.0,0.0,0.0,1.5,0.0,0.0,0.06738016239110434
302,24.0,2.0,0.0,0.0,1.5,0.0,0.0,0.06689669526872362
303,29.0,1.0,0.0,0.0,1.5,0.0,0.0,0.06631713183808725
304,25.0,3.0,0.0,0.0,1.5,0.0,0.0,0.06582153980035405
305,33.0,2.0,0.0,0.0,1.5,0.0,0.0,0.06517302472137804
306,20.0,1.0,0.0,0.0,1.5,0.0,0.0,0.06478309902830207
307,29.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0642218468622679
