episode,wall_s,steps,p0_transitions,train_calls,epsilon
790,0.031466,78,23,23,0.1
791,0.025351,62,19,19,0.1
792,0.024201,78,17,17,0.1
793,0.033238,79,24,24,0.1
794,0.025815,79,19,19,0.1
795,0.023149,72,17,17,0.1
796,0.021299,73,16,16,0.1
797,0.028064,84,21,21,0.1
798,0.026386,67,20,20,0.1
799,0.033668,92,26,26,0.1
800,0.026373,89,20,20,0.1
801,0.03575,74,22,22,0.1
802,0.036132,74,23,23,0.1
803,0.035311,85,22,22,0.1
804,0.021884,71,16,16,0.1
805,0.026517,76,19,19,0.1
806,0.030484,75,22,22,0.1
807,0.032417,82,23,23,0.1
808,0.027378,64,20,20,0.1
809,0.028058,86,20,20,0.1
